SUKHJITS,2024-08-16,486,497.25,483.45,488.1,6219
VHLTD,2024-08-16,124.5,124.5,118,122.44,17066
CEATLTD,2024-08-16,2630,2658.8,2612,2630.15,164695
FINPIPE,2024-08-16,279.2,291.55,277.2,286,1373440
MANAKSTEEL,2024-08-16,54.49,55.31,51.8,52.43,82266
MBECL,2024-08-16,5.07,5.45,5.04,5.05,383664
CONSUMBEES,2024-08-16,128.46,130.81,128.46,130.71,150488
SUMICHEM,2024-08-16,538,546.1,524.7,538.35,597140
SUZLON,2024-08-16,77.95,80.5,74.12,79.95,155613726
TIJARIA,2024-08-16,13.65,13.76,13.65,13.7,11370
AKASH,2024-08-16,37,39.69,37,37.75,87682
APEX,2024-08-16,270,272.4,264.5,265.3,109151
DIL,2024-08-16,6.96,7.08,6.96,7.01,453870
EQUITASBNK,2024-08-16,79.52,83.2,78.1,82.5,12282424
NORBTEAEXP,2024-08-16,13.99,13.99,12.88,12.96,8760
SALONA,2024-08-16,303.9,303.9,295.05,300.6,232
BANKBETF,2024-08-16,51.04,51.7,41.51,50.87,27790
CELLO,2024-08-16,895.65,900,874,879.5,117133
CORDSCABLE,2024-08-16,198.46,205,198.46,201.06,25246
DLINKINDIA,2024-08-16,528.7,557.95,520.05,541.8,218251
MAHLIFE,2024-08-16,586.1,597.75,583.4,588.2,245194
PEL,2024-08-16,885,951.75,880.85,947.35,4137386
RUCHINFRA,2024-08-16,14.44,14.54,13.85,14.04,296523
SBILIFE,2024-08-16,1699,1702.1,1666.15,1688.9,721574
SKIPPER,2024-08-16,409.7,422,404.85,415.8,606118
SURANAT&P,2024-08-16,20.85,22.44,20.85,22.44,293193
TTKHLTCARE,2024-08-16,1616.45,1624.3,1580,1592.7,7444
ZENITHEXPO,2024-08-16,240.1,257.9,240.1,256.9,1346
ARTEMISMED,2024-08-16,240,248.1,240,244.25,70275
ASIANENE,2024-08-16,330.15,338.05,303.1,314.3,368231
IIFLSEC,2024-08-16,210,216.4,209.02,211.55,894202
NIFTY1,2024-08-16,263.41,267.38,263.18,266.66,28333
NDGL,2024-08-16,3255,3255,3126,3175,131
PANSARI,2024-08-16,122.27,128.38,121,125,2074
TANLA,2024-08-16,908.9,920,901.6,906.3,282418
BIRLACORPN,2024-08-16,1250,1292,1241.3,1287.1,164373
DEEPENR,2024-08-16,182.17,185.01,174.43,176.92,43991
GENUSPAPER,2024-08-16,25.35,25.44,24.9,24.99,781572
GPPL,2024-08-16,229,235.6,227.01,229.5,5033486
SECURCRED,2024-08-16,6.1,6.35,5.85,5.86,475677
VSTTILLERS,2024-08-16,3742.95,3800,3681.3,3764.95,8655
HEUBACHIND,2024-08-16,460,464.4,441,442.45,43303
LANCORHOL,2024-08-16,41,41.9,39.51,39.99,117233
TPLPLASTEH,2024-08-16,111,111,107.8,109.17,106731
ACCURACY,2024-08-16,11.05,11.05,10.36,10.65,288997
ALKYLAMINE,2024-08-16,1996.15,2030.9,1984.5,2008.45,33181
BIKAJI,2024-08-16,844,876,835.65,848.4,1255548
GOKEX,2024-08-16,870.75,913,870.75,900.9,306649
GULPOLY,2024-08-16,190.2,192.06,183.75,186.14,203928
HITECHCORP,2024-08-16,221.59,230.01,221.59,227.91,17654
LPDC,2024-08-16,10.8,10.8,10.59,10.59,42491
LICHSGFIN,2024-08-16,648.95,660.3,646.2,658.25,2437248
ARENTERP,2024-08-16,58.01,59.48,54.43,54.43,17203
UNOMINDA,2024-08-16,1118,1160,1113.65,1156.45,1471405
COROMANDEL,2024-08-16,1692.85,1780,1690,1759.75,693778
DHANI,2024-08-16,51.4,51.4,50.1,50.4,1569238
DWARKESH,2024-08-16,72.25,73,70.83,71.84,1187672
GUJGASLTD,2024-08-16,594.3,606.55,592.5,601.2,653374
HDFCNIF100,2024-08-16,26.1,26.56,25.38,26.04,63879
MAANALU,2024-08-16,114.5,121.84,114.5,117.73,352888
RANEENGINE,2024-08-16,424,430.8,418,419.3,5975
SADHNANIQ,2024-08-16,70.6,71.99,69.86,70.21,201675
DHRUV,2024-08-16,129.5,129.5,125,125,21079
SANDHAR,2024-08-16,648.8,650.6,608.1,611.75,187350
AXISTECETF,2024-08-16,423.12,453.94,423.12,438.75,72869
BAJAJHIND,2024-08-16,39.81,39.89,38.91,39.61,14033500
KAPSTON,2024-08-16,198,198,194.05,194.05,1588
MIRCELECTR,2024-08-16,20.96,23,20.92,22.98,3365207
RAMCOCEM,2024-08-16,782,806.5,782,804.95,257509
VETO,2024-08-16,161.9,165.7,159.1,161.54,428848
CLEDUCATE,2024-08-16,76,78.15,76,77.4,40703
DELTACORP,2024-08-16,128,128,124.49,125,1347307
DVL,2024-08-16,436.25,454.7,436.25,448.05,84460
MEGASOFT,2024-08-16,68,69.79,67.37,69.04,98009
TIPSFILMS,2024-08-16,555,575,545.15,567.65,10000
TRIGYN,2024-08-16,114.01,119.67,111.7,114.98,73258
E2E,2024-08-16,1962.8,2060.9,1864.7,2060.9,70266
GHCL,2024-08-16,627.7,638.55,618.25,631.9,276477
JAYSREETEA,2024-08-16,124,126,122.01,124.65,159889
SINCLAIR,2024-08-16,98.68,108.58,98.5,106.2,285518
ZOMATO,2024-08-16,260.7,266.2,257.01,264.43,42932761
ANANDRATHI,2024-08-16,3636,3636,3580.15,3602.1,14314
CHEMPLASTS,2024-08-16,495.1,506.5,491.3,493.95,1055863
FILATEX,2024-08-16,57.2,59.45,57.01,58.8,1277537
LINCOLN,2024-08-16,666.6,668.75,650,656.05,39240
MICEL,2024-08-16,81.4,82.9,78.91,80.33,600385
TIMESGTY,2024-08-16,134,134,129.06,130.66,10847
TVSELECT,2024-08-16,343.3,348.65,343.3,345.7,22256
DEEDEV,2024-08-16,369.95,373,355.45,359.95,870486
GTLINFRA,2024-08-16,2.71,2.79,2.68,2.74,200155474
ORIENTELEC,2024-08-16,264.25,278.8,264.25,269.9,361945
SANOFI,2024-08-16,6738.05,6908,6687.1,6720.5,49188
THYROCARE,2024-08-16,860,888,860,881.55,138919
TREEHOUSE,2024-08-16,23.36,24.1,23.25,23.59,9034
VHL,2024-08-16,3869.85,3939.95,3810,3870.4,670
WEWIN,2024-08-16,72.24,72.24,70.15,70.75,7344
ZODIACLOTH,2024-08-16,120.55,124.95,120.55,123.75,4607
ADANIENSOL,2024-08-16,1126.9,1138,1073.1,1085.3,3187004
BAJAJHLDNG,2024-08-16,9400,9600,9392,9585.5,20441
CCHHL,2024-08-16,21.8,21.8,21.4,21.45,41807
GRWRHITECH,2024-08-16,3074.9,3279.95,3074.85,3230.9,94860
HYBRIDFIN,2024-08-16,12.69,13.24,12.3,13.11,11777
INFIBEAM,2024-08-16,31.03,31.42,30.82,31.14,8864163
JKLAKSHMI,2024-08-16,801.45,804.95,788,790.2,190618
VRAJ,2024-08-16,218.9,222,213.76,214.61,101069
CANBK,2024-08-16,108,108.41,106.52,107.62,30254042
EIHAHOTELS,2024-08-16,429.45,433.4,420,421.3,50095
LIQUID1,2024-08-16,1003.52,1003.54,1003.52,1003.53,24251
METROPOLIS,2024-08-16,2007.15,2077.95,1984.2,2071.9,227808
PRITIKAUTO,2024-08-16,25.25,26.49,24.29,26.24,1754009
VERTOZ,2024-08-16,33.93,33.94,31.8,32.43,9386880
VIPULLTD,2024-08-16,30.49,31.6,29.43,30.85,583310
AIIL,2024-08-16,1371,1420,1371,1387.95,48998
INDBANK,2024-08-16,48.35,50,48.35,49.04,199399
INNOVACAP,2024-08-16,648.55,672.9,637.65,666.75,182808
KBCGLOBAL,2024-08-16,1.75,1.76,1.64,1.65,8090886
PANACHE,2024-08-16,132.13,132.13,132.13,132.13,2900
ROLEXRINGS,2024-08-16,2244.7,2258.3,2219.9,2225.9,9998
SHILPAMED,2024-08-16,688.95,688.95,661.6,675.05,173051
TEAMLEASE,2024-08-16,3080.2,3151,3080.2,3095.15,12200
WELSPUNLIV,2024-08-16,176.45,178.85,173.56,175.56,1392781
BEARDSELL,2024-08-16,38.7,38.7,36.31,38.04,59830
IMAGICAA,2024-08-16,93.15,94,90.4,91.45,1867782
NUVAMA,2024-08-16,6113.7,6202,6050.15,6148.5,56522
SUPREMEENG,2024-08-16,2.32,2.32,2.32,2.32,265283
ARE&M,2024-08-16,1569,1576.45,1547.45,1561,264213
