Nifty 50,2024-08-16,24334.85,24563.9,24204.5,24541.15,271611087
Nifty Next 50,2024-08-16,72208.55,73001.85,71885.2,72943.2,302678541
Nifty 100,2024-08-16,25355.8,25599.45,25221.25,25578.5,576350433
Nifty 200,2024-08-16,13787.2,13925.8,13720.9,13914.7,1466141921
Nifty 500,2024-08-16,22846.1,23071.75,22750.3,23056.5,2045485207
Nifty Midcap 50,2024-08-16,16059.95,16258.1,16002,16246.25,706795181
NIFTY Midcap 100,2024-08-16,56991.75,57699.75,56861.2,57656,889791488
NIFTY Smallcap 100,2024-08-16,18249.8,18450.55,18234.9,18436.85,352435581
Nifty50 Dividend Points,2024-08-16,,,,184.39,
Nifty Auto,2024-08-16,25344.8,25635.45,25261.75,25597.35,50265712
Nifty Bank,2024-08-16,50133,50603.4,49806.05,50516.9,130691206
Nifty Energy,2024-08-16,42516.9,42807.6,42244.55,42762.7,86645656
Nifty Financial Services,2024-08-16,22774.4,22997.1,22617.95,22976.2,82361443
Nifty FMCG,2024-08-16,61450,62303.45,61315.6,62213,29796243
Nifty IT,2024-08-16,40287.3,40927.15,40063.9,40878.25,33744575
Nifty Media,2024-08-16,2036.25,2067.65,2035.7,2059.65,34268755
Nifty Metal,2024-08-16,8938.7,9009.7,8871.75,8994.1,162387499
Nifty MNC,2024-08-16,30274.8,30622.95,30200.9,30587.35,32335027
Nifty Pharma,2024-08-16,22127.6,22152.9,21933.7,22106.5,28790755
Nifty PSU Bank,2024-08-16,6800.2,6851.1,6797.75,6843.8,108969255
Nifty Realty,2024-08-16,1033.55,1051.95,1031.1,1048.65,13917023
Nifty India Consumption,2024-08-16,11706.05,11831.1,11662.65,11816.45,109870977
Nifty Commodities,2024-08-16,9133.6,9222.05,9078.45,9209.95,193263075
Nifty Dividend Opportunities 50,2024-08-16,6610.5,6692.1,6597.15,6685.25,426646747
Nifty Infrastructure,2024-08-16,9081.7,9167.25,9031.65,9157.9,136188892
Nifty PSE,2024-08-16,11074.45,11197.05,11001.9,11184.65,216687761
Nifty Services Sector,2024-08-16,30897.4,31210.2,30721.2,31185.3,207091925
Nifty50 Shariah,2024-08-16,,,,5445.28,43389668
Nifty500 Shariah,2024-08-16,,,,7853.36,454396338
Nifty Low Volatility 50,2024-08-16,,,,24820.43,164665430
Nifty Alpha 50,2024-08-16,58005.2,58648.4,57672.9,58611.75,536821195
Nifty High Beta 50,2024-08-16,,,,4060.58,947352076
Nifty100 Equal Weight,2024-08-16,33207.15,33543.65,33056.15,33515.7,576350433
Nifty100 Liquid 15,2024-08-16,6685.15,6747.8,6649.4,6741.95,114786148
Nifty CPSE,2024-08-16,7251.1,7312.6,7205.05,7303.65,152204994
Nifty50 Value 20,2024-08-16,13748.4,13919.1,13714.25,13903.75,184823599
Nifty Midcap Liquid 15,2024-08-16,13630.65,13772.2,13586.7,13762.15,66408580
Nifty Shariah 25,2024-08-16,,,,9117.25,78829350
India VIX,2024-08-16,15.435,15.435,12.95,14.4,
Nifty Growth Sectors 15,2024-08-16,12220.15,12356.85,12180.45,12339.85,59698090
Nifty50 TR 1x Inverse,2024-08-16,167.6,168.5,166,166.15,
Nifty50 TR 2x Leverage,2024-08-16,20499,20881.1,20282.3,20843.85,
Nifty50 PR 1x Inverse,2024-08-16,201.9,202.95,199.95,200.15,
Nifty50 PR 2x Leverage,2024-08-16,14098.4,14361.35,13949.3,14335.65,
NIFTY100 Quality 30,2024-08-16,5885.4,5948.7,5864.65,5944.45,102656729
NIFTY50 Equal Weight,2024-08-16,30969.6,31312.15,30849.15,31284.1,271611087
Nifty500 Equal Weight,2024-08-16,,,,14498.9,2045485207
Nifty 50 Futures Index,2024-08-16,,,,6854.76,
Nifty 50 Arbitrage,2024-08-16,,,,2361.37,
Nifty 50 Futures TR Index,2024-08-16,,,,26328.46,
Nifty India Corporate Group Index - Mahindra Group,2024-08-16,,,,32743.51,9372725
Nifty India Corporate Group Index - Aditya Birla Group,2024-08-16,,,,8331.81,312257455
Nifty India Corporate Group Index - Tata Group,2024-08-16,,,,19883.63,95338572
Nifty India Corporate Group Index - Tata Group 25% Cap,2024-08-16,17534.75,17778.8,17523.4,17767.4,86471626
Nifty Private Bank,2024-08-16,25076.1,25294.9,24883.35,25256.05,94666203
Nifty Smallcap 250,2024-08-16,17221.95,17387.2,17211.5,17371.4,536252003
Nifty Smallcap 50,2024-08-16,8533.1,8655.75,8531.25,8648.7,167745245
Nifty MidSmallcap 400,2024-08-16,19713.45,19925.9,19688.95,19917.4,1469134774
Nifty Midcap 150,2024-08-16,21061.25,21310.8,21027.35,21298.35,932882771
Nifty IPO,2024-08-16,,,,2225.07,402695311
Nifty Midcap Select,2024-08-16,12624.45,12734.35,12572.6,12724.85,364240483
NIFTY LargeMidcap 250,2024-08-16,15952.9,16123.2,15897.95,16112.7,1509233204
NIFTY SME EMERGE,2024-08-16,,,,15106.83,
Nifty Oil & Gas,2024-08-16,12900.2,13023.75,12858,12999.75,79014614
Nifty Financial Services 25/50,2024-08-16,24981.65,25280,24835.15,25257.95,82361443
Nifty Healthcare Index,2024-08-16,13848.8,13892.1,13764.15,13879.55,28093974
Nifty500 Multicap 50:25:25,2024-08-16,15926.9,16084.35,15875.9,16076.25,2045485207
Nifty Microcap 250,2024-08-16,23985.65,24261.25,23963.9,24246.95,405929908
Nifty Total Market,2024-08-16,12868.15,12995.7,12816.25,12987.45,2451415115
Nifty India Digital,2024-08-16,9047.45,9211.2,9025,9200.4,420556452
Nifty Mobility,2024-08-16,,,,21874.64,144824385
Nifty India Defence,2024-08-16,,,,7147.24,32434779
Nifty Financial Services Ex-Bank,2024-08-16,,,,25026.38,117718031
Nifty Housing,2024-08-16,,,,11533.07,419722949
Nifty Transportation & Logistics,2024-08-16,,,,24660.99,115210873
Nifty MidSmall Financial Services,2024-08-16,,,,14648.79,241316216
Nifty MidSmall Healthcare,2024-08-16,39382.65,39688.8,39220.85,39664.6,29876210
Nifty MidSmall IT & Telecom,2024-08-16,,,,10906.59,343091812
Nifty MidSmall India Consumption,2024-08-16,,,,18930.05,40752764
Nifty REITs & InvITs,2024-08-16,,,,1123.72,4847055
Nifty Core Housing,2024-08-16,,,,16741.21,33392522
Nifty500 Multicap Infrastructure 50:30:20,2024-08-16,14298.9,14428.9,14233.85,14415.05,499407759
Nifty Rural,2024-08-16,,,,15160.15,553363335
Nifty Consumer Durables,2024-08-16,39389.5,39704.15,39214.05,39671.5,12698889
Nifty Non-Cyclical Consumer,2024-08-16,,,,16632.16,110778957
Nifty500 Multicap India Manufacturing 50:30:20,2024-08-16,15097.2,15223.4,15041.55,15210.05,250175716
Nifty EV & New Age Automotive,2024-08-16,,,,3296.23,91753432
Nifty500 LargeMidSmall Equal-Cap Weighted,2024-08-16,,,,17757.82,2045485207
Nifty India Tourism,2024-08-16,,,,8459.3,36412036
NIFTY100 Alpha 30,2024-08-16,,,,20746.05,280281513
NIFTY500 Value 50,2024-08-16,,,,14754.97,406670198
Nifty100 Low Volatility 30,2024-08-16,19881.3,20055.15,19772.9,20034.8,103928118
NIFTY Alpha Low-Volatility 30,2024-08-16,29314.65,29557.85,29164.5,29524.8,113647079
NIFTY Quality Low-Volatility 30,2024-08-16,,,,18209.81,79330398
NIFTY Alpha Quality Low-Volatility 30,2024-08-16,,,,24553.03,79693099
NIFTY Alpha Quality Value Low-Volatility 30,2024-08-16,,,,21979.77,152497987
NIFTY200 Quality 30,2024-08-16,21909.4,22146.65,21856.4,22133.25,77476791
NIFTY Midcap150 Quality 50,2024-08-16,24605.2,24888.65,24598.2,24852.45,46394917
Nifty200 Momentum 30,2024-08-16,35502.9,35913,35358.1,35879.4,185257647
Nifty India Manufacturing,2024-08-16,14660.75,14782.2,14590.95,14768.5,374821123
Nifty100 ESG Sector Leaders,2024-08-16,4055.4,4094.6,4033.3,4091.3,321778941
Nifty200 Alpha 30,2024-08-16,28091.25,28391.25,27945.6,28365.4,480472750
Nifty Midcap150 Momentum 50,2024-08-16,63332.75,64016.3,63307.25,63970.15,197722693
Nifty Smallcap250 Quality 50,2024-08-16,,,,28827.39,105314072
Nifty Smallcap250 Momentum Quality 100,2024-08-16,,,,51625.26,294205898
Nifty MidSmallcap400 Momentum Quality 100,2024-08-16,,,,53226.95,281032858
Nifty500 Momentum 50,2024-08-16,,,,61986.81,469473132
Nifty200 Value 30,2024-08-16,,,,13603.11,306886061
Nifty Top 10 Equal Weight,2024-08-16,,,,9508.37,67130347
NIFTY100 ESG,2024-08-16,4857.85,4909.1,4835.4,4905.4,506792062
NIFTY100 Enhanced ESG,2024-08-16,,,,4941.94,506346751
Nifty 8-13 yr G-Sec,2024-08-16,2683.68,2683.68,2680.1,2682.18,
